p_id,is_primary,compatible_number,car_model,vehicle_spec,year,product_name,product_spec,brand,note
MGXE-001,1,MGXE-001,,好幫手 PRONTO,,-95,,雨刷拉桿,1000
XE-0010,1,XE-0010,,通用,,,,鋁管,F*F 公母牙 1.5尺
XE-0010,0,A01-05-002,,,,,,鋁管,F*F 公母牙 1.5尺
XE-0011,1,XE-0011,,通用,,,,鋁管,F*F 公母牙 2尺
XE-0011,0,A01-05-003,,,,,,鋁管,F*F 公母牙 2尺
XE-0012,1,XE-0012,,通用,,,,鋁管,F*F 1尺
XE-0012,0,A01-01-001,,,,,,鋁管,F*F 1尺
XE-0013,1,XE-0013,,通用,,,,鋁管,F*F 1.5尺
XE-0013,0,A01-01-002,,,,,,鋁管,F*F 1.5尺
XE-0014,1,XE-0014,,通用,,,,鋁管,F*F 2尺
XE-0014,0,AL60-20-01,,,,,,鋁管,F*F 2尺
XE-0014,0,A01-01-003,,,,,,鋁管,F*F 2尺
XE-0015,1,XE-0015,,通用,,,,鋁管,F*F 2.5尺
XE-0015,0,A01-01-004,,,,,,鋁管,F*F 2.5尺
XE-0016,1,XE-0016,,通用,,,,鋁管,F*F 3尺
XE-0016,0,A01-01-005,,,,,,鋁管,F*F 3尺
XE-0017,1,XE-0017,,通用,,,,鋁管,3分 公母牙 22cm O
XE-0017,0,A01-06-004,,,,,,鋁管,3分 公母牙 22cm O
XE-0018,1,XE-0018,,通用,,,,鋁管,3分 公母牙 1尺 O
XE-0018,0,AL-60-10-06,,,,,,鋁管,3分 公母牙 1尺 O
XE-0018,0,A01-06-001,,,,,,鋁管,3分 公母牙 1尺 O
XE-0018,0,AAB-046-06,,,,,,鋁管,3分 公母牙 1尺 O
XE-0019,1,XE-0019,,通用,,,,鋁管,3分 公母牙 1.5尺 O
XE-0019,0,A01-06-002,,,,,,鋁管,3分 公母牙 1.5尺 O
XE-0019,0,AL60-15-06,,,,,,鋁管,3分 公母牙 1.5尺 O
XE-0019,0,1.5T3OE,,,,,,鋁管,3分 公母牙 1.5尺 O
