p_id,name,brand,stock,specifications,car_model,year,price_a,price_b,price_c,notes
COM-B002R,BMW E30 (3系列),壓縮機,精工 鋁殼,,,COM-B002R,外匯,0,0 個,0[AR002]
COM-B003R,BMW E34 (5系列),壓縮機,精工 鋁殼 單溝,,,COM-B003R,外匯,0,0 個,0[AR003]
COM-B004R,BMW E36 (3系列),壓縮機,S96,,,COM-B004R,外匯,0,3 個,3[AR004]
COM-B004T,BMW E36 (3系列),壓縮機,SS96 精工 4PK,,,COM-B004T,新品,0,0,0[AB19]
COM-B006,BMW E36 (3系列),壓縮機,(10P17C) 4PK,,,COM-B006,DENSO,0,0,0[AB19]
COM-B007K,BMW E34 (5系列),壓縮機,(10PA17C),,,COM-B007K,韓國,0,1 個,1[AB19]
COM-B007R,BMW E34 (5系列),壓縮機,M50 325 (10PA17C),,,COM-B007R,外匯,0,0,0[AR008]
COM-B007T,BMW E34 (5系列),壓縮機,(10PA17C),,,COM-B007T,新品,0,10 個,0[AB19]10[LINKO]
COM-B009,BMW E39 (5系列),壓縮機,(7SBU16C) 5PK 110mm,,,COM-B009,DENSO,0,1 個,1[AB19]0[LINKO]
COM-B009-1,BMW E39 (5系列),壓縮機,(7SBU16C) 4PK 110mm,,,COM-B009-1,DENSO,0,0 個,0[A]
COM-B009A,BMW E39 (5系列),壓縮機,(7SBU16C) 5PK,,,COM-B009A,外匯新,0,0 個,0[AB19]
COM-B009R,BMW E39 (5系列),壓縮機,(7SBU16C) 5PK,,,COM-B009R,外匯,0,0 個,0[AR009]
COM-B009T,BMW E39 (5系列),壓縮機,(7SBU16C) 5PK,,,COM-B009T,新品,0,0 個,0[AB19]
COM-B010A,BMW E46 (3系列),壓縮機,SEIKO,,,COM-B010A,外匯新,0,1 個,1[AR010]
COM-B010T,BMW E46 (3系列),壓縮機,SEIKO,,,COM-B010T,新品,0,0 個,0[AB19]
COM-B011T,BMW E46 (3系列),壓縮機,318 (CALSONIC) 5PK,00~01,,COM-B011T,新品,0,0 個,0[AR011]
COM-B012,BMW E46 (3系列),壓縮機,2.0 318 (CALSONIC) 6PK 4缸,01-05,,COM-B012,CALSONIC,0,0,
COM-B012A,BMW E46 (3系列),壓縮機,N42 318 (CALSONIC) 6PK,02-03,,COM-B012A,外匯新,0,0,0[AB19]
COM-B012R,BMW E46 (3系列),壓縮機,N42 318 (CALSONIC) 6PK (舊品對換),03-,,COM-B012R,外匯,0,0 個,0[AR012]
COM-B012T,BMW E46 (3系列),壓縮機,N42 318 (CALSONIC) 6PK,01-05,,COM-B012T,新品,0,0,0[AB19]
COM-B014,BMW E90 (3系列),壓縮機,4缸 (CSE613C) 6PK,05-12,,COM-B014,正廠,0,3 個,0[AB19]3[LINKO]
COM-B016,BMW E60 (5系列),壓縮機,(7SEU17C) 4PK 無線圈,-05,,COM-B016,DENSO,0,22,-4[A0]26[LINKO]
COM-B016A,BMW E60 (5系列),壓縮機,(7SEU17C) 4PK 3D 100MM,-05,,COM-B016A,外匯新,0,0,0[AR014]
COM-B017D,BMW E65 (7系列) (E66 E67),壓縮機,(7SEU17C) 4PK 3D 110M,01-08,,COM-B017D,DENSO,0,0,0[A]
COM-B018T,BMW E60 (5系列),壓縮機,(7SEU17C) 6PK,05-,,COM-B018T,新品,0,0,0[A0]
COM-B019A,MINI COOPER,壓縮機,1.6 (舊品對換),01-,,COM-B019A,外匯新,0,0,0[A0]
COM-B020,BMW E60 (5系列),壓縮機,(6SEU14C) 6PK 無線圈,,,COM-B020,正廠,0,15,0[AB19]15[LINKO]
COM-B021,BMW F10 (5系列),壓縮機,(7SBU17A) 6PK 113mm,10~17,,COM-B021,DENSO,0,5,2[A0]3[LINKO]
COM-B021R,BMW F10 (5系列),壓縮機,(7SBU17A) 6PK 113mm,,,COM-B021R,外匯,0,0,0[A1]
