代碼,顯示名,備註
.5,歐洲,歐洲
1,標,標
1C,白盒,白盒
1G,阪神,阪神
1X,保良,保良
21,帝寶,帝寶
2E,德國,德國
2F,東乾,東乾
2H,東采,東采
2M,東元,東元
2T,大川,大川
2U,東亞,東亞
2U1,大億,大億
2U2,東陽,東陽
2XND,大陸ND,大陸ND
2Z,大豐,大豐
2Z1,東風,東風
3M,3M,3M
52,正道,正道
555,555,555
5A,中美,中美
5B,朝日,朝日
5C,中韓,中韓
5CR,中華件,中華件
5E,中國,中國
5E5,中國製,中國製
5EOET,中國OE廠,中國OE廠
5ET,中國廠,中國廠
5S5,5s5,5s5
5T,正廠,正廠
5T5ET,正廠中國廠,正廠中國廠
5TA1,正廠無包裝,正廠無包裝
5TV,正廠型,正廠型
5X,整理,整理
5XQ,整理品,整理品
66,66,66
911,911,911
9AX,愛馬龍,愛馬龍
A,A級,A級
AAI,AAI,AAI
ABA,ABA,ABA
AC,AC,AC
ACD,ACDELCO,ACDELCO
ACE,ACE,ACE
AD,advics,advics
AE,美國,美國
AI,AISIN,AISIN
AIS,AISAN,AISAN
AK,AKEBONO,AKEBONO
AL,ATLAS,ATLAS
AN,ANCO,ANCO
ANI,ANIMA,ANIMA
APM,APM,APM
APO,APOLLO,APOLLO
AR,ARUFA,ARUFA
ARIO,ARIO,ARIO
ARQ,A級品,A級品
ARS,ARS,ARS
ARUFA,ARUFA,ARUFA
ASU,ASUKI,ASUKI
AT,ATLASBX,ATLASBX
ATE,ATE,ATE
ATS,ATS,ATS
AU,AUSLIN,AUSLIN
AV,麻新,麻新
AV1,麻新,麻新
AVE,墨西哥,墨西哥
AX,麻聯,麻聯
AXVU,馬來西亞,馬來西亞
B,標整理,標整理
B1,日本,日本
B1T,日本廠,日本廠
BA,BANDO,BANDO
BAN,Banner,Banner
BE,BEHR,BEHR
BE1,BERU,BERU
BE2,BEHR HELLA,BEHR HELLA
BG,瑞士,瑞士
BH,BH,BH
BJ,日外,日外
BL,BLACK GOLD,BLACK GOLD
BO,BOSCH 中國,BOSCH 中國
BON,BONBOND,BONBOND
BOS,BOSHI,BOSHI
BR,BREMI,BREMI
BR1,B級,B級
BRE,brembo,brembo
BRR,Brilliant,Brilliant
BS,BS/NCR,BS/NCR
BSG,BSG,BSG
BU,BUBU,BUBU
BX,日立,日立
CA,厚木,厚木
CAFM,CAFM TW,CAFM TW
CAL,CALSONIC,CALSONIC
CAS,Castel,Castel
CCB,CCB,CCB
CD,行快,行快
CE,韓國,韓國
CFW,CFW,CFW
CG,COOL GEAR,COOL GEAR
CH,CHAMPION,CHAMPION
CH1,CH,CH
CHI,CHI,CHI
CM,華域三電,華域三電
CMH,CMH,CMH
CO,CODAN,CODAN
CON,CONTI,CONTI
CORT,CORT,CORT
CRE,黑金鋼,黑金鋼
CRI,CRI,CRI
CS,CSB,CSB
CS1,華南,華南
