代碼,顯示名,廠牌
*,,
.,,
0.1,歐霸,
1G,巴士,
1W,寶騰蓮花,
1WG,GEN.2,
1WJU,JUNBUC,
1WJX,威菱,
1WSA,寶騰 SAVVY,
1WWI,WIRA,
21,電巴,
2C,調貨,
2ER,堆高機,
2T,吊車,
2U5,德意志,
2WU,多田野 (TADANO),
2Y,訂做,
2Z,代付,
5M,專用,
5RV,重機械,
5U SUM,住友 SUMITOMO,
AC,ACURA 安古拉,
ACDO,DOMATNE,
ACIN,INTEGRA 完全 (DC2),
ACLE,LEGEND 傳說,
ACMDX,MDX,
ACNSX,NSX,
ACVI,VIGOR 活力,
AIR,AIRMAN (日本北越),AIRMAN
AL159,ALFA ROMIO 159,ALFA ROMIO
AL166,ALFA ROMIO 166,ALFA ROMIO
AR,愛快,ALFA ROMIO
AR145,愛快 145,ALFA ROMIO
AR146,愛快 146,ALFA ROMIO
AR147,愛快 147,ALFA ROMIO
AR155,愛快 155,ALFA ROMIO
AR156,愛快 156,ALFA ROMIO
AR158,愛快 158,ALFA ROMIO
AR164,愛快 164,ALFA ROMIO
AR166,愛快 166,ALFA ROMIO
AR168,愛快 168,ALFA ROMIO
AR33,愛快 33,ALFA ROMIO
AR75,愛快 75,ALFA ROMIO
AR90,愛快 90,ALFA ROMIO
ARBR,BRERA,
ARGTV,愛快 GTV,ALFA ROMIO
ARSP,愛快 SPIDER,ALFA ROMIO
ARV6,愛快 V6,ALFA ROMIO
AT,ATLAS,
AU,奧斯丁,
AUD,AUDI 奧迪,AUDI
AUD100,AUDI 100,AUDI
AUD156,AUDI 156,AUDI
AUD80,AUDI 80,AUDI
AUD90,AUDI 90,AUDI
AUDA1,AUDI A1,AUDI
AUDA2,AUDI A2,AUDI
AUDA3,AUDI A3,AUDI
AUDA4,AUDI A4,AUDI
AUDA4C,AUDI A4 CABRIOLET,AUDI
AUDA5,AUDI A5,AUDI
AUDA6,AUDI A6,AUDI
AUDA7,AUDI A7,AUDI
AUDA8,AUDI A8,AUDI
AUDAU,AUDI QUATTRO,AUDI
AUDQ2,AUDI Q2,AUDI
AUDQ3,AUDI Q3,AUDI
AUDQ5,AUDI Q5,AUDI
AUDQ7,AUDI Q7,AUDI
AUDQ8,AUDI Q8,AUDI
AUDR8,R8,AUDI
AUDRS3,RS3,AUDI
AUDRS6,RS6,AUDI
AUDS3,AUDI S3,AUDI
AUDS4,AUDI S4,AUDI
AUDS5,AUDI S5,AUDI
AUDS6,AUDI S6,AUDI
AUDS8,AUDI S8,AUDI
AUDSQ5,AUDI SQ5,AUDI
AUDTT,AUDI TT,AUDI
AUSCO,MINI COOPER,MINI
AUSMI,MINI 迷你,
AUSMO,MONTEGO 猛地哥,
AUSON,MINI ONE,MINI
BENZ GLB,BENZ GLB,M BENZ
BM,BMW,BMW
BM1,BMW 1,BMW
BM2,BMW 2,BMW
BM3,BMW 3,BMW
BM4,BMW 4,BMW
BM5,BMW 5,BMW
BM6,BMW 6,BMW
BM7,BMW 7,BMW
BMB47,BMW B47,BMW
BME23,BMW E23 (7系列),BMW
BME24,BMW E24 (6系列),BMW
BME28,BMW E28 (5系列),BMW
BME30,BMW E30 (3系列),BMW
