代碼,顯示名,分類
*,,
.G2Y,歐式端子,歐式端子
.GX2Y,歐式裸端子,歐式裸端子
02F,安定器,安定器
0F2,安全帶,安全帶
0F2DC,安全帶扣環,安全帶扣環
0F2YT,安全帶總成,安全帶總成
0FFS,安全氣囊,安全氣囊
0FFSG5WC,安全氣囊時鐘彈簧,安全氣囊時鐘彈簧
0FGXN,安全栓螺絲,安全栓螺絲
115,報表紙,報表紙
12,邊燈,邊燈
121,杯燈,杯燈
122Y,閉端端子,閉端端子
12D,邊燈殼,邊燈殼
15,備註,備註
15AQ,標誌銘牌,標誌銘牌
15E5F,爆震感知器,爆震感知器
15F,避震器,避震器
15FFS,避震器氣囊,避震器氣囊
15FGY,避震器上座,避震器上座
15FWC,避震器彈簧,避震器彈簧
15FWV,避震器桶芯,避震器桶芯
15FYT,避震器總成,避震器總成
15R,比重計,比重計
15Y,標誌座,標誌座
1CVE2Y,壁虎型固定座,壁虎型固定座
1CW,變換頭,變換頭
1E,白干,白干
1EJR,保桿彎角,保桿彎角
1ESW,保桿內鐵,保桿內鐵
1EY,乾燥包,乾燥包
1EZCW,保桿防護條,保桿防護條
1F,補請,補請
1F1,標籤,標籤
1G,把手,把手
1G1,標示板,標示板
1G2,爆閃燈,爆閃燈
1GC,標示盒,標示盒
1GVR,變速箱腳,變速箱腳
1N,波斯,波斯
1NV,變速箱,變速箱
1NVU,變速箱油,變速箱油
1NVUJ,變速箱油網,變速箱油網
1NVUJ2Q,變速箱油網墊片,變速箱油網墊片
1NVUZ,變速箱油封,變速箱油封
1NVV,變速箱線,變速箱線
1Q,邦浦,邦浦
1QF1,變頻器,變頻器
1QR,邦浦架,邦浦架
1R,杯架,杯架
1R2,冰角燈,冰角燈
1T2,板車燈,板車燈
1TC2,板車後燈,板車後燈
1TC2D,板車後燈殼,板車後燈殼
1TV,板車線,板車線
1UF,變壓器,變壓器
1V2,標線燈,標線燈
1VE,保險桿,保險桿
1VN,保險絲,保險絲
1VNC,保險絲盒,保險絲盒
1VNE F2F,保險絲管,保險絲管
1VNY,保險絲座,保險絲座
1VNYE,保險絲座蓋,保險絲座蓋
1VRW,本線接頭,本線接頭
1VW,丙烯筒,丙烯筒
1WD,白鐵殼,白鐵殼
1X,玻璃,玻璃
1XH,玻璃槽,玻璃槽
1XR,玻璃夾,玻璃夾
1XR1,補漏劑,補漏劑
1XX,保麗龍,保麗龍
2-,吊耳,吊耳
21,吊板,吊板
211,電表,電表
212,電霸,電霸
21Z,單錶伐,單錶伐
22,大燈,大燈
220S,打擋按鈕,打擋按鈕
221Q,電動幫浦,電動幫浦
222Q,大燈燈炮,大燈燈炮
222Y,大燈底座,大燈底座
22CGR,電動後視鏡,電動後視鏡
22D,大燈框,大燈框
22D1,大燈扣,大燈扣
22DE,大燈開關,大燈開關
22F,斷電器,斷電器
22FE,單動汽缸,單動汽缸
22FW02F,大燈氣體安定器,大燈氣體安定器
22GY,大燈束子,大燈束子
22Q1,電動幫浦,電動幫浦
22RD,大燈膠殼,大燈膠殼
22T22F,電動窗斷電器,電動窗斷電器
22TDE,電動窗開關,電動窗開關
22UA2,電動椅馬達,電動椅馬達
22UDE,電動椅開關,電動椅開關
22UNR,電動壓縮機,電動壓縮機
22YT 22,大燈總成,大燈總成
22ZV2DE,大燈方向燈開關,大燈方向燈開關
25,電鐘,電鐘
251,地址,地址
2A1NV,電腦變速箱,電腦變速箱
2AR,單面膠,單面膠
2ARW,端末接頭,端末接頭
2B,大榮,大榮
2C,電話,電話
2CD5F,點火控制器,點火控制器
2CF,電焊槍,電焊槍
2CFW,電焊槍頭,電焊槍頭
2CW,打火頭,打火頭
2CZ2F,點火放大器,點火放大器
2D,燈殼,燈殼
2DASR,電控模擬機,電控模擬機
2DY,燈殼座,燈殼座
2E,代工,代工
2E1,代購,代購
2E2,惰桿,惰桿
2E3,導管,導管
2FR,打氣機,打氣機
2GA2,打水馬達,打水馬達
2GDE,惰式開關,惰式開關
2GF,定時器,定時器
-2GQVE2Y,二段式配線固定座,二段式配線固定座
2GZ1,碟式分泵,碟式分泵
2GZ1RQ,碟式分泵(舊品),碟式分泵(舊品)
2H,導槽,導槽
2HZ,電磁閥,電磁閥
2JDE,檔位開關,檔位開關
2JF,電位器,電位器
2M1VN 1VNV,電源保險絲,電源保險絲
2MGE,電源上蓋,電源上蓋
2MV,電源線,電源線
2MVD,電源線扣,電源線扣
2NA2,怠速馬達,怠速馬達
2NDE,定速開關,定速開關
2NGT2,第三煞車燈,第三煞車燈
2Q,燈炮,燈炮
2Q1,墊片,墊片
2Q5,燈炮罩,燈炮罩
2Q51,墊片紙,墊片紙
